7.1.0	This NASA image is a composite of several satellite-based views of Earth.
7.7.1	This type of generating plant starts with underground thermal energy (heat) and transforms it into electrical energy that will be transported to homes and factories.
7.7.2	Like a generating plant, plants and animals also must take in energy from the environment and convert it into a form that their cells can use.
7.7.3	Energy enters an organism’s body in one form and is converted into another form that can fuel the organism’s life functions.
7.7.4	In the process of photosynthesis, plants and other photosynthetic producers take in energy in the form of light (solar energy) and convert it into chemical energy, glucose, which stores this energy in its chemical bonds.
7.7.5	Then, a series of metabolic pathways, collectively called cellular respiration, extracts the energy from the bonds in glucose and converts it into a form that all living things can use—both producers, such as plants, and consumers, such as animals.
7.7.6	Energy production within a cell involves many coordinated chemical pathways.
7.7.7	Most of these pathways are combinations of oxidation and reduction reactions.
7.7.8	Oxidation and reduction occur in tandem.
7.7.9	An oxidation reaction strips an electron from an atom in a compound, and the addition of this electron to another compound is a reduction reaction.
7.7.10	Because oxidation and reduction usually occur together, these pairs of reactions are called oxidation reduction reactions, or redox reactions.
7.7.11	Electrons and Energy
7.7.12	The removal of an electron from a molecule, oxidizing it, results in a decrease in potential energy in the oxidized compound.
7.7.13	The electron (sometimes as part of a hydrogen atom), does not remain unbonded, however, in the cytoplasm of a cell.
7.7.14	Rather, the electron is shifted to a second compound, reducing the second compound.
7.7.15	The shift of an electron from one compound to another removes some potential energy from the first compound (the oxidized compound) and increases the potential energy of the second compound (the reduced compound).
7.7.16	The transfer of electrons between molecules is important because most of the energy stored in atoms and used to fuel cell functions is in the form of high-energy electrons.
7.7.17	The transfer of energy in the form of electrons allows the cell to transfer and use energy in an incremental fashion—in small packages rather than in a single, destructive burst.
7.7.18	This chapter focuses on the extraction of energy from food; you will see that as you track the path of the transfers, you are tracking the path of electrons moving through metabolic pathways.
7.7.19	Electron Carriers
7.7.20	In living systems, a small class of compounds functions as electron shuttles: They bind and carry high-energy electrons between compounds in pathways.
7.7.21	The principal electron carriers we will consider are derived from the B vitamin group and are derivatives of nucleotides.
7.7.22	These compounds can be easily reduced (that is, they accept electrons) or oxidized (they lose electrons).
7.7.23	Nicotinamide adenine dinucleotide (NAD)
7.7.24	(Figure 7.2) is derived from vitamin B3, niacin.
7.7.25	NAD+ is the oxidized form of the molecule; NADH is the reduced form of the molecule after it has accepted two electrons and a proton (which together are the equivalent of a hydrogen atom with an extra electron).
7.7.26	NAD+ can accept electrons from an organic molecule according to the general equation: RH Reducing agent + NAD+
7.7.27	Oxidizing agent →
7.7.28	NADH Reduced + R Oxidized
7.7.29	When electrons are added to a compound, they are reduced.
7.7.30	A compound that reduces another is called a reducing agent.
7.7.31	In the above equation, RH is a reducing agent, and NAD+ is reduced to NADH.
7.7.32	When electrons are removed from compound, it oxidized.
7.7.33	A compound that oxidizes another is called an oxidizing agent.
7.7.34	In the above equation, NAD+ is an oxidizing agent, and RH is oxidized to R. Similarly, flavin adenine dinucleotide (FAD+) is derived from vitamin B2, also called riboflavin.
7.7.35	Its reduced form is FADH2.
7.7.36	A second variation of NAD, NADP, contains an extra phosphate group.
7.7.37	Both NAD+ and FAD+ are extensively used in energy extraction from sugars, and NADP plays an important role in anabolic reactions and photosynthesis.
7.7.38	The oxidized form of the electron carrier (NAD+) is shown on the left and the reduced form (NADH) is shown on the right.
7.7.39	The nitrogenous base in NADH has one more hydrogen ion and two more electrons than in NAD+.
7.7.40	ATP in Living Systems
7.7.41	A living cell cannot store significant amounts of free energy.
