7.1.1.1	Chapter 1: Studying Life
7.1.summary.9.3	One lineage of Archaea became specialized as Eukarya, which includes all multicellular organisms.
7.1.summary.9.4	Review Figure 1.9
7.1.summary.10.1	Life can be studied at different levels of organization within a biological hierarchy.
7.1.summary.10.2	The specialized cells of multicellular organisms are organized into tissues, organs, and organ systems.
7.1.summary.11.1	Living organisms, whether unicellular or multicellular, must regulate their internal environment to maintain homeostasis, the range of physical conditions necessary for their survival and function.
7.1.summary.12.1	Individual organisms form populations and interact with other organisms of their own and other species.
7.1.summary.12.2	The populations that live and interact in a defined area form a community, and communities together with their abiotic (nonliving) environment constitute an ecosystem.
7.1.summary.12.3	Review Figure 1.10, Activity 1.1 1.2
7.1.summary.13.1	Biologists Investigate Life through Experiments That Test Hypotheses
7.1.summary.14.1	Scientific methods combine observation, the gathering of information (data), experimentation, and the application of logic to study the natural world.
7.1.summary.14.2	Many scientific investigations involve five steps: making observations, asking questions, forming hypotheses, making predictions, and testing those predictions.
7.1.summary.14.3	Review Figure 1.12
7.1.summary.15.1	Hypotheses are tentative explanations of observations or answers to questions.
7.1.summary.15.2	Predictions made on the basis of a hypothesis are tested with additional observations and experiments.
7.1.summary.15.3	The two general types of experiments are comparative and controlled.
7.1.summary.15.4	Review Investigating Life: Corals in Hot Water, Animation 1.1
7.1.summary.16.1	Quantifiable data are critical in evaluating hypotheses.
7.1.summary.16.2	Statistical methods are applied to quantitative data to establish whether the differences observed could be the result of chance.
7.1.summary.16.3	These methods start with the null hypothesis that there are no differences apart from random variation.
7.1.summary.16.4	See Appendix B
7.1.summary.17.1	Biological knowledge obtained from a model system may be generalized to other species. 1.3
7.1.summary.18.1	Understanding Biology Is Important for Health, Well-Being, and Public-Policy Decisions
7.1.summary.19.1	Application of biological knowledge is responsible for vastly increased agricultural production.
7.1.summary.20.1	Understanding and treating human disease requires integrating a wide range of biological principles, from molecular biology to cell biology, physiology, evolution, and ecology.
7.1.summary.21.1	Biologists are often called on to advise government agencies on the solutions to important problems that have a biological component.
7.1.summary.22.1	Biology is increasingly important for understanding how organisms interact in a rapidly changing world.
7.1.summary.23.1	Biology helps us understand, appreciate, and enjoy the diverse living world.
7.1.summary.24.1	Go to LearningCurve (in LaunchPad) for dynamic quizzing that helps you solidify your understanding of this chapter.
7.1.summary.24.2	LearningCurve adapts to your responses, giving you the practice you need to master each key concept.
7.1.summary.25.1	Apply What You   ve Learned
7.1.summary.26.1	Review
7.1.summary.27.1	1.1 Living organisms have influenced the history of the planet Earth.
7.1.summary.28.1	1.1 Major characteristics are shared among all living things.
7.1.summary.29.1	1.1 Biological populations change over time.
7.1.summary.30.1	1.2 Scientific methods produce biological knowledge.
7.1.summary.31.1	1.3 Biology contributes many things to society.
7.1.summary.32.1	Original Paper: Lindsey, H. A., J. Gallie, S. Taylor, and B. Kerr. 2013.
7.1.summary.32.2	Evolutionary rescue from extinction is contingent on a lower rate of environmental change.
7.1.summary.32.3	Nature 494: 463   467.
7.1.summary.33.1	As many as half of the antibiotics that are used in human medicine may be incorrectly prescribed or completely unnecessary.
7.1.summary.33.2	Antibiotics are also given to food animals in an effort to prevent disease.
7.1.summary.33.3	A general overuse of these drugs has contributed to a significant increase in drug-resistant pathogens.
7.1.summary.33.4	If you were raising animals for food, what evidence could you use to decide if it is better to treat the animals routinely with a low dose of antibiotics or wait until symptoms occur and then administer a high dose?
7.1.summary.34.1	Researchers used serial transfer to propagate 1,255 populations of the bacterium Escherichia coli in an environment in which concentrations of the antibiotic rifampicin were increased over time.
7.1.summary.34.2	Each population began in liquid medium containing no antibiotic and ended at the same maximum concentration of rifampicin.
7.1.summary.35.1	During the serial transfers, populations received one of three treatments.
7.1.summary.35.2	Populations designated as    Sudden  ? were exposed to the maximum rifampicin concentration immediately after their first transfer and continued to receive this maximum concentration in each subsequent transfer.
7.1.summary.35.3	Populations designated as    Moderate  ? were exposed to moderately increasing concentrations of rifampicin; the maximum concentration of rifampicin was reached halfway through the transfers.
7.1.summary.35.4	Populations designated as    Gradual  ? were exposed to more gradual increases of rifampicin; the maximum concentration of rifampicin was reached at the very end of the transfers.
7.1.summary.36.1	Figure A summarizes the treatment conditions and Figure B shows the percentage of populations in each treatment that survived the experiment.
7.1.summary.36.2	The number above each bar shows how many of the initial 1,255 populations underwent each type of treatment.
7.1.summary.37.1	Questions
7.1.summary.38.1	1.
7.1.summary.38.2	What do the results of this investigation show about the effects of sudden versus gradual environmental changes on the evolution of biological populations?
7.1.summary.38.3	Explain how these results help explain extinctions and adaptations of populations in changing environments.
7.1.summary.39.1	2.
7.1.summary.39.2	In what ways does this investigation model events that shaped the history of life on Earth?
7.1.summary.40.1	3.
7.1.summary.40.2	Explain what makes it reasonable for us to infer that similar results would be observed if this investigation were repeated using a plant, insect, or mammal population in a changing environment.
